Date,Series,Value
2020-02-11 00:00:00,Volume Intensity,0
2020-02-11 00:15:00,Volume Intensity,0
2020-02-11 00:30:00,Volume Intensity,0
2020-02-11 00:45:00,Volume Intensity,0.0241
2020-02-11 01:00:00,Volume Intensity,0
2020-02-11 01:15:00,Volume Intensity,0.0251
2020-02-11 01:30:00,Volume Intensity,0
2020-02-11 01:45:00,Volume Intensity,0
2020-02-11 02:00:00,Volume Intensity,0
2020-02-11 02:15:00,Volume Intensity,0
2020-02-11 02:30:00,Volume Intensity,0.0282
2020-02-11 02:45:00,Volume Intensity,0
2020-02-11 03:00:00,Volume Intensity,0
2020-02-11 03:15:00,Volume Intensity,0
2020-02-11 03:30:00,Volume Intensity,0.0264
2020-02-11 03:45:00,Volume Intensity,0
2020-02-11 04:00:00,Volume Intensity,0
2020-02-11 04:15:00,Volume Intensity,0.0323
2020-02-11 04:30:00,Volume Intensity,0
2020-02-11 04:45:00,Volume Intensity,0
2020-02-11 05:00:00,Volume Intensity,0
2020-02-11 05:15:00,Volume Intensity,0
2020-02-11 05:30:00,Volume Intensity,0.0264
2020-02-11 05:45:00,Volume Intensity,0
2020-02-11 06:00:00,Volume Intensity,0
2020-02-11 06:15:00,Volume Intensity,0.0259
2020-02-11 06:30:00,Volume Intensity,0
2020-02-11 06:45:00,Volume Intensity,0.0248
2020-02-11 07:00:00,Volume Intensity,0
2020-02-11 07:15:00,Volume Intensity,0
2020-02-11 07:30:00,Volume Intensity,0
2020-02-11 07:45:00,Volume Intensity,0
2020-02-11 08:00:00,Volume Intensity,0
2020-02-11 08:15:00,Volume Intensity,0.0389
2020-02-11 08:30:00,Volume Intensity,0
2020-02-11 08:45:00,Volume Intensity,0
2020-02-11 09:00:00,Volume Intensity,0
2020-02-11 09:15:00,Volume Intensity,0.0185
2020-02-11 09:30:00,Volume Intensity,0
2020-02-11 09:45:00,Volume Intensity,0.0182
2020-02-11 10:00:00,Volume Intensity,0.0162
2020-02-11 10:15:00,Volume Intensity,0.0164
2020-02-11 10:30:00,Volume Intensity,0
2020-02-11 10:45:00,Volume Intensity,0
2020-02-11 11:00:00,Volume Intensity,0
2020-02-11 11:15:00,Volume Intensity,0
2020-02-11 11:30:00,Volume Intensity,0
2020-02-11 11:45:00,Volume Intensity,0
2020-02-11 12:00:00,Volume Intensity,0
2020-02-11 12:15:00,Volume Intensity,0
2020-02-11 12:30:00,Volume Intensity,0.0152
2020-02-11 12:45:00,Volume Intensity,0
2020-02-11 13:00:00,Volume Intensity,0
2020-02-11 13:30:00,Volume Intensity,0.0147
2020-02-11 13:45:00,Volume Intensity,0
2020-02-11 14:00:00,Volume Intensity,0.0143
2020-02-11 14:15:00,Volume Intensity,0.0317
2020-02-11 14:30:00,Volume Intensity,0
2020-02-11 14:45:00,Volume Intensity,0
2020-02-11 15:00:00,Volume Intensity,0
2020-02-11 15:15:00,Volume Intensity,0
2020-02-11 15:30:00,Volume Intensity,0
2020-02-11 15:45:00,Volume Intensity,0
2020-02-11 16:00:00,Volume Intensity,0
2020-02-11 16:15:00,Volume Intensity,0
2020-02-11 16:30:00,Volume Intensity,0.0145
2020-02-11 16:45:00,Volume Intensity,0
2020-02-11 17:00:00,Volume Intensity,0.0161
2020-02-11 17:15:00,Volume Intensity,0
2020-02-11 17:30:00,Volume Intensity,0
2020-02-11 17:45:00,Volume Intensity,0
2020-02-11 18:00:00,Volume Intensity,0
2020-02-11 18:15:00,Volume Intensity,0.0165
2020-02-11 18:30:00,Volume Intensity,0
2020-02-11 18:45:00,Volume Intensity,0.0353
2020-02-11 19:00:00,Volume Intensity,0
2020-02-11 19:15:00,Volume Intensity,0
2020-02-11 19:30:00,Volume Intensity,0
2020-02-11 19:45:00,Volume Intensity,0
2020-02-11 20:00:00,Volume Intensity,0
2020-02-11 20:15:00,Volume Intensity,0
2020-02-11 20:30:00,Volume Intensity,0.02
2020-02-11 20:45:00,Volume Intensity,0
2020-02-11 21:00:00,Volume Intensity,0
2020-02-11 21:15:00,Volume Intensity,0
2020-02-11 21:30:00,Volume Intensity,0.0201
2020-02-11 21:45:00,Volume Intensity,0
2020-02-11 22:00:00,Volume Intensity,0
2020-02-11 22:15:00,Volume Intensity,0
2020-02-11 22:30:00,Volume Intensity,0.0207
2020-02-11 22:45:00,Volume Intensity,0
2020-02-11 23:00:00,Volume Intensity,0.0228
2020-02-11 23:15:00,Volume Intensity,0.0233
2020-02-11 23:30:00,Volume Intensity,0.0226
2020-02-11 23:45:00,Volume Intensity,0
